ATCOCode,Easting,Northing,Lon,Lat,CommonName,Identifier,Direction,Street,Landmark,NatGazID,NatGazLocality,StopType,"Stop type, name",Icon colour
1290BOB20569,407445,90806,-1.89591,50.71682,Clarendon Road,,W,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20570,407086,90943,-1.901,50.71806,St Ambrose Church,,N,West Cliff Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20571,407146,90909,-1.90015,50.71775,St Ambrose Church,,SE,West Overcliff Drive,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20572,407453,90817,-1.8958,50.71692,Clarendon Road,,E,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20573,407705,90713,-1.89223,50.71598,Chine Crescent Road,,E,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20574,407933,90759,-1.889,50.71639,Admirals Walk,,E,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20575,407935,90747,-1.88898,50.71629,Admirals Walk,,W,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20576,408202,90776,-1.88519,50.71654,Savoy Hotel,,E,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20577,408233,90766,-1.88475,50.71645,Savoy Hotel,,W,West Cliff Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20578,408113,90978,-1.88645,50.71836,West Hill Road,,NW,West Hill Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20579,408085,91018,-1.88684,50.71872,West Hill Road,,SE,West Hill Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOT11618,406789,91555,-1.90519,50.72357,County Gates,,E,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOA10381,408510,91290,-1.88082,50.72116,Bournemouth Square,,NW,Bourne Avenue,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290DOB20913,408353,96173,-1.88293,50.76508,Saxonhurst Road,opposite,SE,Wimborne Road,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20914,408443,96094,-1.88166,50.76436,Saxonhurst Road,,W,Wimborne Road,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20915,408593,95995,-1.87953,50.76347,Headswell Avenue,,NW,Wimborne Road,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20916,408641,95950,-1.87885,50.76307,Headswell Avenue,opposite,SE,Wimborne Road,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20917,408887,95857,-1.87537,50.76223,Redhill Roundabout,,SE,Whitelegg Way,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20961,408336,93500,-1.88323,50.74104,Osborne Road,,E,Talbot Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20962,408367,93477,-1.88279,50.74083,Osborne Road,,NW,Talbot Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20963,408536,93415,-1.8804,50.74027,Winton Banks,,E,Talbot Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20964,408537,93403,-1.88039,50.74016,Winton Banks,,W,Talbot Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20991,408023,95582,-1.88762,50.75977,Saxonhurst Road,,SE,Leybourne Avenue,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20992,407998,95617,-1.88798,50.76008,Saxonhurst Road,,N,Leybourne Avenue,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20994,407838,95906,-1.89024,50.76268,Palfrey Road,,NW,Leybourne Avenue,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20995,407886,95830,-1.88956,50.762,Palfrey Road,,S,Leybourne Avenue,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20996,407736,96094,-1.89168,50.76437,Gillam Road,,SE,Leybourne Avenue,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB20997,407709,96098,-1.89207,50.76441,Gillam Road,,NW,Leybourne Avenue,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21032,409857,94479,-1.86165,50.74982,Malvern Road Bottom,,W,Malvern Road,,E0035367,Charminster (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21033,409842,94482,-1.86186,50.74985,Malvern Road Bottom,,E,Malvern Road,,E0035367,Charminster (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21059,408707,94094,-1.87796,50.74638,Winton Library,,S,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21060,408677,93967,-1.87839,50.74523,Peters Hill,,N,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21061,408682,93920,-1.87832,50.74481,Peters Hill,,S,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21062,408634,93645,-1.87901,50.74234,Wycliffe Road,,N,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21063,408640,93620,-1.87892,50.74211,Wycliffe Road,,S,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21064,408609,93463,-1.87937,50.7407,Winton Banks,,N,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21065,408597,93283,-1.87954,50.73908,Winton Banks,,S,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21066,408574,93225,-1.87987,50.73856,Stirling Road,,N,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21068,408678,93353,-1.87839,50.73971,Winton Banks,,E,Alma Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21069,408646,93353,-1.87884,50.73971,Winton Banks,,W,Alma Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21071,408999,93259,-1.87384,50.73886,Stoke Wood Road,,W,Alma Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21072,409080,93247,-1.8727,50.73875,Stokewood Road,,W,Alma Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290DOB21073,409217,93198,-1.87075,50.73831,Heron Court Road,,W,Alma Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
